Technique,Model,Use_Case,Pre_Compression_Accuracy (%),Post_Compression_Accuracy (%),Model_Size_MB_Before,Model_Size_MB_After,Inference_Time_Before (ms),Inference_Time_After (ms),Energy_Consumption_After (mWh),Device_Type,Network_Availability,Location
Pruning,ResNet18,Healthcare,84.5,83.7,9.1,3.4,212.5,139.2,20.2,Low-End,Good,Odisha
Quantization,EfficientNet,Healthcare,88.2,87.5,29.7,19.4,541.7,331.7,19.1,Mid-Range,Moderate,Chhattisgarh
Knowledge Distillation,ResNet18,Agriculture,85,83,41.7,25.3,392.5,203.2,16.7,Mid-Range,Moderate,Chhattisgarh
Weight Sharing,EfficientNet,Agriculture,83.7,81.3,98.2,57.2,306.9,241.4,30.4,Mid-Range,Moderate,Chhattisgarh
Pruning,MobileNetV2,Education,89.7,87,86.6,38.1,303.5,168.9,35.5,Mid-Range,Good,Jharkhand
Quantization,ResNet18,Healthcare,88.1,87.3,90,27.2,371.2,244.3,20.3,Low-End,Good,Assam
Knowledge Distillation,SqueezeNet,Agriculture,92,90.9,44.7,21.8,366.4,282.8,22.3,Low-End,Poor,Manipur
Weight Sharing,SqueezeNet,Education,85.9,85.1,37.5,25.6,460.9,349.4,19.1,Mid-Range,Moderate,Jharkhand
Pruning,ResNet18,Agriculture,93.9,93,39.3,17.2,174.2,131.6,37.9,Low-End,Moderate,Jharkhand
Quantization,EfficientNet,Agriculture,91.5,90.8,18.1,11.1,445.9,234.1,26.4,Low-End,Good,Chhattisgarh
Knowledge Distillation,MobileNet,Healthcare,94,91.7,96.9,62,461.5,240.9,23.5,Low-End,Good,Assam
Weight Sharing,SqueezeNet,Healthcare,89.8,87,11.2,7.6,519,288.7,36.4,Low-End,Moderate,Tamil Nadu
Pruning,ResNet50,Healthcare,88.6,87.5,34.8,17.8,503.1,388.6,39.2,Mid-Range,Moderate,Manipur
Quantization,MobileNetV2,Agriculture,86.2,83.5,93.3,46.2,473.7,289.5,27.4,Low-End,Poor,Jharkhand
Knowledge Distillation,EfficientNet,Agriculture,90.3,87.8,42.5,20.9,378.3,261.7,23.4,Mid-Range,Good,Jharkhand
Weight Sharing,MobileNet,Healthcare,89,87.6,35.7,22.2,384.3,250.5,19.8,Low-End,Poor,Rajasthan
Pruning,MobileNet,Education,86.3,84.2,43.3,16.8,447.7,302.1,34.1,Low-End,Poor,Tamil Nadu
Quantization,MobileNet,Healthcare,87.9,86,81.8,37.5,298.9,198.6,18.1,Mid-Range,Good,Andhra Pradesh
